country,crop,year,rainfall,pesticides,temperature,Actual (A),Predicted (P),Absolute Error (AE),Residual (R) (A - P) ,R^2,,,,,,,,
Guinea,Yams,1997,1651,157,27.3,111765,111198,567,567,321489,,,,,,,,
Spain,Potatoes,1993,636,29408,16.4,183745,201457,17712,-17712,313714944,,,,,,,,
Brazil,Sweet potatoes,1998,1761,118930.56,18.2,103928,103928,0,0,0,,,,,,,,
India,Soybeans,1994,1083,61357,26.46,9106,9106,0,0,0,,,,,,,,
Libya,Maize,2000,56,3277.13,19.59,28900,28900,0,0,0,,,,,,,,
Australia,Soybeans,1996,534,31185,17.05,18740,18740,0,0,0,,,,,,,,
Mexico,"Rice, paddy",1991,758,34468.93,19.36,40954,40954,0,0,0,,,,,,,,
Turkey,Maize,2006,593,27421,19.44,72139,72139,0,0,0,,,,,,,,
Canada,Wheat,2007,537,45140.03,7.42,23317,23317,0,0,0,,,,,,,,
Armenia,Wheat,1999,562,60.38,10.11,19466,20651,1185,-1185,1404225,,,,,,,,
Pakistan,Sweet potatoes,2000,494,27885,25.32,109771,109771,0,0,0,,,,,,,,
India,Maize,1992,1083,70791,23.79,16758,16758,0,0,0,,,,,,,,
Pakistan,Sorghum,2007,494,5935.96,23.33,6045,6045,0,0,0,,,,,,,,
Turkey,Maize,2008,593,37640.2,14.91,71988,71878,110,110,12100,,,,,,,,
Ecuador,Maize,2008,2274,15396.14,21.72,22442,22442,0,0,0,,,,,,,,
Sweden,Wheat,2004,624,1353,7.53,59798,57792,2006,2006,4024036,,,,,,,,
Brazil,Soybeans,2000,1761,140423,24.36,24033,24033,0,0,0,,,,,,,,
India,Cassava,2000,1083,44957.52,26.43,269087,269087,0,0,0,,,,,,,,
Brazil,Maize,1994,1761,84312.78,27.53,23629,23629,0,0,0,,,,,,,,
Jamaica,Potatoes,2001,2051,909.71,27.27,144634,156346,11712,-11712,137170944,,,,,,,,
South Africa,"Rice, paddy",2007,495,26857,18.98,25048,25612,564,-564,318096,,,,,,,,
Canada,Potatoes,1997,537,38258.2,8.09,111195,111195,0,0,0,,,,,,,,
Kazakhstan,Sorghum,1993,250,17182,1.63,12500,12500,0,0,0,,,,,,,,
Turkey,Wheat,1997,593,34431,11.34,20174,24304,4130,-4130,17056900,,,,,,,,
Spain,Maize,2008,636,40719,16.92,99061,99061,0,0,0,,,,,,,,
Guyana,"Rice, paddy",2000,2387,289.9,27.05,38677,40141,1464,-1464,2143296,,,,,,,,
Mexico,Cassava,2010,758,63402.29,25.04,131579,127352,4227,4227,17867529,,,,,,,,
India,Sorghum,2001,1083,43720.04,26.9,7715,7715,0,0,0,,,,,,,,
Chile,Wheat,2007,1522,9830.72,12.31,47859,44130,3729,3729,13905441,,,,,,,,
Namibia,Maize,2007,285,56,20.49,20296,22606,2310,-2310,5336100,,,,,,,,
Spain,"Rice, paddy",2009,636,35199,12.96,76593,76593,0,0,0,,,,,,,,
Ecuador,Wheat,1994,2274,2670,17.4,6162,6162,0,0,0,,,,,,,,
Ecuador,Plantains and others,1991,2274,2377,22.18,99852,99852,0,0,0,,,,,,,,
Germany,Potatoes,1991,700,32006,8.79,298464,314059,15595,-15595,243204025,,,,,,,,
South Africa,Soybeans,2004,495,26857,15.49,16296,16862,566,-566,320356,,,,,,,,
Chile,Maize,2000,1522,14264.54,12.99,94120,94120,0,0,0,,,,,,,,
India,Soybeans,1990,1083,75000,24.78,10145,10145,0,0,0,,,,,,,,
Dominican Republic,Potatoes,1990,1410,4971,26.61,118759,118759,0,0,0,,,,,,,,
Indonesia,"Rice, paddy",2004,2702,1597,25.67,45365,45365,0,0,0,,,,,,,,
Niger,Sweet potatoes,2005,151,24.75,30.02,171840,177570,5730,-5730,32832900,,,,,,,,
Brazil,Soybeans,2005,1761,232232,19.42,22303,22303,0,0,0,,,,,,,,
Iraq,Maize,2006,216,824.14,23.82,24255,24255,0,0,0,,,,,,,,
Japan,Potatoes,1995,1668,79821.18,12.98,323558,323558,0,0,0,,,,,,,,
India,Maize,2013,1083,45620,26.79,25726,25726,0,0,0,,,,,,,,
Mexico,Potatoes,2005,758,51741.99,20.09,259662,259662,0,0,0,,,,,,,,
Ecuador,Plantains and others,2005,2274,18391.23,22.21,60846,60846,0,0,0,,,,,,,,
Brazil,Cassava,2008,1761,312637,21.86,141371,141371,0,0,0,,,,,,,,
India,Cassava,2004,1083,35113,25.32,270436,270436,0,0,0,,,,,,,,
Peru,Plantains and others,2013,1738,17942.97,17,128177,137377,9200,-9200,84640000,,,,,,,,
Indonesia,Maize,1992,2702,825,27.01,22030,22030,0,0,0,,,,,,,,
India,Cassava,2008,1083,14485.33,25.65,335407,335407,0,0,0,,,,,,,,
India,Wheat,1997,1083,52279,25.58,26789,26789,0,0,0,,,,,,,,
United Kingdom,Wheat,1999,1220,35537,9.67,80495,80495,0,0,0,,,,,,,,
Turkey,Potatoes,1998,593,30162,18.08,258890,258890,0,0,0,,,,,,,,
Dominican Republic,Sorghum,1994,1410,4971,26.78,20233,24329,4096,-4096,16777216,,,,,,,,
India,Soybeans,2009,1083,28707.01,27.82,10236,10236,0,0,0,,,,,,,,
Turkey,Potatoes,2009,593,37651.15,12.75,305986,305986,0,0,0,,,,,,,,
Mauritius,Maize,2000,2041,535.66,24,89000,50435,38565,38565,1487259225,,,,,,,,
Egypt,Potatoes,2007,51,9105,21.51,255717,255717,0,0,0,,,,,,,,
India,Sweet potatoes,1996,1083,56114,25.55,80716,80716,0,0,0,,,,,,,,
Argentina,Wheat,1999,591,62831.39,17.71,23028,26088,3060,-3060,9363600,,,,,,,,
Bangladesh,Maize,2008,2666,12936.5,26,60172,56831,3341,3341,11162281,,,,,,,,
El Salvador,Cassava,1990,1784,2524,26.06,158889,160232,1343,-1343,1803649,,,,,,,,
Burkina Faso,Yams,2008,748,190.92,28.4,71895,65200,6695,6695,44823025,,,,,,,,
Chile,Wheat,2006,1522,9830.72,6.84,44601,45748,1147,-1147,1315609,,,,,,,,
Papua New Guinea,Yams,2009,3142,105,25.08,165128,167568,2440,-2440,5953600,,,,,,,,
India,Maize,2009,1083,28707.01,27.14,20238,20238,0,0,0,,,,,,,,
India,Wheat,2012,1083,52980,26.21,31775,31775,0,0,0,,,,,,,,
Guatemala,Potatoes,2007,1996,22883.17,19.9,250489,247554,2935,2935,8614225,,,,,,,,
Ecuador,Potatoes,1990,2274,2537,22.12,71727,68405,3322,3322,11035684,,,,,,,,
Eritrea,Sorghum,1996,383,4.44,24.36,2463,4820,2357,-2357,5555449,,,,,,,,
Romania,Maize,2011,637,6582.9,11.26,45292,64976,19684,-19684,387459856,,,,,,,,
Spain,Maize,1998,636,35070,12.4,94731,92157,2574,2574,6625476,,,,,,,,
Canada,Soybeans,2000,537,39667,6.67,25483,25483,0,0,0,,,,,,,,
Pakistan,Potatoes,1995,494,7681,24.58,139418,139418,0,0,0,,,,,,,,
Central African Republic,Plantains and others,1995,1342,22.87,25.5,27448,27143,305,305,93025,,,,,,,,
Turkey,Potatoes,2006,593,27421,19.44,276077,268306,7771,7771,60388441,,,,,,,,
Australia,Potatoes,1997,534,34091,17.51,313056,313056,0,0,0,,,,,,,,
Poland,Wheat,1996,600,9824,6.71,34574,30649,3925,3925,15405625,,,,,,,,
Japan,Yams,2011,1668,51796.3,13.32,220905,220905,0,0,0,,,,,,,,
Austria,Wheat,2013,1110,3108.6,10.03,53743,41388,12355,12355,152646025,,,,,,,,
India,Cassava,2007,1083,27422.77,25.82,322204,322204,0,0,0,,,,,,,,
Morocco,"Rice, paddy",1995,346,11399.71,18.56,49571,37256,12315,12315,151659225,,,,,,,,
Australia,Wheat,2008,534,42935.38,16.7,10788,10788,0,0,0,,,,,,,,
Japan,"Rice, paddy",1999,1668,79821.18,15.93,64143,64143,0,0,0,,,,,,,,
Malawi,Potatoes,1996,1181,173.19,20.47,90293,58002,32291,32291,1042708681,,,,,,,,
Peru,Plantains and others,2002,1738,8322.88,17.44,122667,109501,13166,13166,173343556,,,,,,,,
Canada,Soybeans,2002,537,34226,8.18,22814,22814,0,0,0,,,,,,,,
Namibia,Sorghum,2001,285,56,20.37,3821,1891,1930,1930,3724900,,,,,,,,
Nicaragua,Potatoes,1998,2280,4373.1,27.83,135000,129694,5306,5306,28153636,,,,,,,,
Haiti,Potatoes,2004,1440,27.85,27.37,127778,130000,2222,-2222,4937284,,,,,,,,
Botswana,Sorghum,2011,416,17,19.19,6690,5042,1648,1648,2715904,,,,,,,,
Bulgaria,Soybeans,2008,608,1846,9.9,13358,6018,7340,7340,53875600,,,,,,,,
Brazil,Sweet potatoes,2000,1761,140423,20.32,110351,110351,0,0,0,,,,,,,,
Greece,Soybeans,2008,652,5130.8,18.61,3684,21491,17807,-17807,317089249,,,,,,,,
Mexico,Sweet potatoes,1997,758,34468.93,20.99,209597,209597,0,0,0,,,,,,,,
Canada,Potatoes,1992,537,29387,3.69,118173,118173,0,0,0,,,,,,,,
Kazakhstan,Soybeans,1998,250,6416.14,6.94,13359,13359,0,0,0,,,,,,,,
India,Potatoes,2010,1083,40093.69,26.61,199299,199299,0,0,0,,,,,,,,
India,"Rice, paddy",2010,1083,40093.69,26.93,33587,33587,0,0,0,,,,,,,,
Pakistan,Sweet potatoes,1997,494,16936,23.76,104716,104716,0,0,0,,,,,,,,
South Africa,Wheat,2000,495,26857,20.74,25997,24137,1860,1860,3459600,,,,,,,,
India,"Rice, paddy",1998,1083,49157,25.87,28805,28805,0,0,0,,,,,,,,
Indonesia,"Rice, paddy",2005,2702,1597,27.44,45739,45739,0,0,0,,,,,,,,
Belgium,Potatoes,2009,847,5496.04,11,447083,454233,7150,-7150,51122500,,,,,,,,
Japan,Soybeans,2013,1668,52794.3,16.02,15520,15520,0,0,0,,,,,,,,
India,Sorghum,2008,1083,14485.33,26.83,10209,10209,0,0,0,,,,,,,,
Burundi,Yams,2002,1274,98.1,21.45,58376,85482,27106,-27106,734735236,,,,,,,,
Slovenia,Potatoes,1994,1162,944,11.33,172680,125740,46940,46940,2203363600,,,,,,,,
Canada,Maize,1994,537,29206,8.11,73748,73748,0,0,0,,,,,,,,
El Salvador,Soybeans,2001,1784,2543.7,25.92,22241,19744,2497,2497,6235009,,,,,,,,
Turkey,Wheat,2007,593,48715.51,12.91,21675,21675,0,0,0,,,,,,,,
Canada,Maize,1999,537,44293,9.53,79747,79747,0,0,0,,,,,,,,
Brazil,Cassava,2007,1761,304031,24.78,140099,140099,0,0,0,,,,,,,,
Mozambique,Maize,2009,1032,914.92,21.7,10000,6177,3823,3823,14615329,,,,,,,,
Malawi,Wheat,2010,1181,584.12,21.34,15123,17042,1919,-1919,3682561,,,,,,,,
Brazil,Sorghum,2007,1761,304031,19.05,21731,21731,0,0,0,,,,,,,,
Japan,Maize,2004,1668,64688.88,16.54,25000,25000,0,0,0,,,,,,,,
Qatar,Wheat,2004,74,68,28.2,24444,23333,1111,1111,1234321,,,,,,,,
Uganda,Sorghum,1992,1180,72,23.46,15000,15000,0,0,0,,,,,,,,
Romania,Wheat,2002,637,7875.7,12.24,20580,30449,9869,-9869,97397161,,,,,,,,
Indonesia,Cassava,2009,2702,1597,27.31,187461,187461,0,0,0,,,,,,,,
United Kingdom,Potatoes,2001,1220,32893.1,10.18,402970,391226,11744,11744,137921536,,,,,,,,
Hungary,Soybeans,1992,589,5777,11.01,14300,27500,13200,-13200,174240000,,,,,,,,
Jamaica,Sweet potatoes,1992,2051,1415.65,27.25,134109,108643,25466,25466,648517156,,,,,,,,
Croatia,Potatoes,2008,1113,2388,11.09,170369,170730,361,-361,130321,,,,,,,,
South Africa,Sweet potatoes,1997,495,21596,20.57,38431,35722,2709,2709,7338681,,,,,,,,
Armenia,Maize,1997,562,41.46,9.1,45548,28100,17448,17448,304432704,,,,,,,,
Italy,Soybeans,1999,832,81583,7.64,35329,35761,432,-432,186624,,,,,,,,
India,Cassava,1993,1083,66388,26.1,230430,230430,0,0,0,,,,,,,,
Papua New Guinea,Yams,2010,3142,105,25.74,171053,175000,3947,-3947,15578809,,,,,,,,
Brazil,Soybeans,1999,1761,127585,20.04,23724,23724,0,0,0,,,,,,,,
India,Potatoes,2005,1083,35342,26.51,188908,188908,0,0,0,,,,,,,,
Indonesia,Sweet potatoes,1998,2702,1597,27.72,95750,95750,0,0,0,,,,,,,,
Mexico,"Rice, paddy",2009,758,61690.08,20.32,48502,48502,0,0,0,,,,,,,,
India,Sweet potatoes,2009,1083,28707.01,26.31,90080,90080,0,0,0,,,,,,,,
India,Wheat,2013,1083,45620,26.69,31538,31538,0,0,0,,,,,,,,
Dominican Republic,Potatoes,2006,1410,4116.45,27.08,222125,205454,16671,16671,277922241,,,,,,,,
Brazil,"Rice, paddy",2009,1761,335742,18.84,44049,44049,0,0,0,,,,,,,,
Australia,Wheat,2009,534,38065.68,12.87,15831,19153,3322,-3322,11035684,,,,,,,,
Morocco,Soybeans,1990,346,9364,18.29,16181,16181,0,0,0,,,,,,,,
Honduras,Cassava,1996,1976,6464,24.39,56912,63483,6571,-6571,43178041,,,,,,,,
Indonesia,Potatoes,2013,2702,1597,27.37,160184,160184,0,0,0,,,,,,,,
Jamaica,Yams,1993,2051,1415.65,27.02,160573,132759,27814,27814,773618596,,,,,,,,
Tunisia,Wheat,1991,207,909,18.41,17006,16151,855,855,731025,,,,,,,,
Bangladesh,Soybeans,2005,2666,7605.01,26.19,14148,13006,1142,1142,1304164,,,,,,,,
Morocco,Wheat,2007,346,13697,17.93,6154,6154,0,0,0,,,,,,,,
Azerbaijan,Soybeans,2010,447,333.85,13.85,7136,6677,459,459,210681,,,,,,,,
Guyana,Yams,2001,2387,289.9,27.27,95512,96154,642,-642,412164,,,,,,,,
Indonesia,Sweet potatoes,2013,2702,1597,27.37,147465,147465,0,0,0,,,,,,,,
Suriname,Plantains and others,1991,2331,207,26.93,257647,206853,50794,50794,2580030436,,,,,,,,
Egypt,Sorghum,1993,51,4175,20.74,53366,53366,0,0,0,,,,,,,,
India,Soybeans,2005,1083,35342,25.72,10734,10734,0,0,0,,,,,,,,
Malaysia,"Rice, paddy",2002,2875,39406.48,27.57,32385,30640,1745,1745,3045025,,,,,,,,
United Kingdom,Potatoes,2009,1220,21324.22,8.64,444167,438841,5326,5326,28366276,,,,,,,,
Kenya,Cassava,2011,630,1578,16.9,112309,52521,59788,59788,3574604944,,,,,,,,
United Kingdom,Wheat,2013,1220,17673.46,9.91,73838,73838,0,0,0,,,,,,,,
Burkina Faso,Cassava,2002,748,39.47,28.97,21551,22411,860,-860,739600,,,,,,,,
Nepal,Soybeans,1991,1500,60.11,14.94,5964,5811,153,153,23409,,,,,,,,
South Africa,"Rice, paddy",2011,495,26857,20.72,26151,26087,64,64,4096,,,,,,,,
Germany,Maize,2012,700,45522.5,9.2,104802,104802,0,0,0,,,,,,,,
Indonesia,Cassava,2004,2702,1597,27.69,154679,154679,0,0,0,,,,,,,,
Rwanda,Sorghum,1998,1212,157,19.79,10514,9134,1380,1380,1904400,,,,,,,,
Guatemala,Sorghum,1998,1996,10834.74,20.36,11699,11825,126,-126,15876,,,,,,,,
India,Maize,1998,1083,49157,25.87,17969,17969,0,0,0,,,,,,,,
Spain,"Rice, paddy",2013,636,54197,17.46,77902,77902,0,0,0,,,,,,,,
Haiti,Maize,2006,1440,27.85,27.41,7795,7802,7,-7,49,,,,,,,,
India,"Rice, paddy",2010,1083,40093.69,26.54,33587,33587,0,0,0,,,,,,,,
Albania,Wheat,2012,1485,766.25,16.7,41096,35496,5600,5600,31360000,,,,,,,,
Saudi Arabia,Wheat,2001,59,3194.48,26.6,49081,42640,6441,6441,41486481,,,,,,,,
Zimbabwe,Potatoes,2002,657,3023.72,21.08,159091,157143,1948,1948,3794704,,,,,,,,
Iraq,Potatoes,2001,216,837.47,24.45,163947,140645,23302,23302,542983204,,,,,,,,
Pakistan,Wheat,1998,494,18406,26.41,22376,22376,0,0,0,,,,,,,,
Mexico,Wheat,2005,758,51741.99,21.42,47517,47517,0,0,0,,,,,,,,
India,Sweet potatoes,2010,1083,40093.69,26.54,92069,92069,0,0,0,,,,,,,,
Sweden,Wheat,1992,624,1497,7.94,53249,58993,5744,-5744,32993536,,,,,,,,
Spain,"Rice, paddy",2000,636,34597,12.2,70661,70661,0,0,0,,,,,,,,
Mexico,Maize,2001,758,31373.3,22.6,25777,25777,0,0,0,,,,,,,,
Pakistan,Soybeans,1990,494,5299,19.36,5679,5918,239,-239,57121,,,,,,,,
India,Cassava,2000,1083,44957.52,26.49,269087,269087,0,0,0,,,,,,,,
Brazil,"Rice, paddy",1990,1761,49695,27.65,18803,18803,0,0,0,,,,,,,,
Canada,Soybeans,1993,537,29296.5,5.87,26005,26005,0,0,0,,,,,,,,
Libya,Maize,1993,56,87,20.12,12878,12387,491,491,241081,,,,,,,,
Brazil,Sweet potatoes,1994,1761,84312.78,19.15,113070,113070,0,0,0,,,,,,,,
Indonesia,Maize,1998,2702,1597,27.72,26526,26526,0,0,0,,,,,,,,
Mali,Sweet potatoes,1991,282,54.63,27.58,46740,47872,1132,-1132,1281424,,,,,,,,
Switzerland,Potatoes,1991,1537,2055.9,7.24,398785,354068,44717,44717,1999610089,,,,,,,,
Mexico,Sweet potatoes,1995,758,34468.93,20.39,174581,174581,0,0,0,,,,,,,,
Uganda,Maize,1990,1180,72,23.36,15012,13500,1512,1512,2286144,,,,,,,,
Australia,Maize,1994,534,21057,19.17,46620,46620,0,0,0,,,,,,,,
Cameroon,Sorghum,1998,1604,258.02,25.66,9955,7692,2263,2263,5121169,,,,,,,,
Burkina Faso,Potatoes,2013,748,843,29.41,19481,19320,161,161,25921,,,,,,,,
Turkey,Potatoes,2008,593,37640.2,18.47,282947,282947,0,0,0,,,,,,,,
Suriname,Plantains and others,2010,2331,1286.65,27.7,280227,341816,61589,-61589,3793204921,,,,,,,,
Honduras,Potatoes,2004,1976,3034.91,24.68,172745,159629,13116,13116,172029456,,,,,,,,
India,"Rice, paddy",2001,1083,43720.04,25.92,31158,31158,0,0,0,,,,,,,,
India,Cassava,2012,1083,52980,25.3,385818,385818,0,0,0,,,,,,,,
Canada,Potatoes,2011,537,62107.2,7.3,120376,120376,0,0,0,,,,,,,,
Ireland,Wheat,2006,1118,2766.64,10,91543,84317,7226,7226,52215076,,,,,,,,
Japan,Potatoes,1992,1668,79821.18,15.26,313645,313645,0,0,0,,,,,,,,
Turkey,Sorghum,2008,593,37640.2,18.47,30811,30811,0,0,0,,,,,,,,
India,Potatoes,1999,1083,46195,25.78,175712,175712,0,0,0,,,,,,,,
Dominican Republic,Yams,1994,1410,4971,26.64,48632,48632,0,0,0,,,,,,,,
Uruguay,Potatoes,2011,1300,17517.76,16.9,177610,224434,46824,-46824,2192486976,,,,,,,,
Colombia,Soybeans,2001,3240,85515.3,22.5,26594,20000,6594,6594,43480836,,,,,,,,
Eritrea,Sorghum,2000,383,24.96,24.76,4118,4750,632,-632,399424,,,,,,,,
Brazil,"Rice, paddy",1999,1761,127585,17.66,30708,30708,0,0,0,,,,,,,,
Lithuania,Potatoes,2007,656,2722.82,7.44,109110,79083,30027,30027,901620729,,,,,,,,
Rwanda,Potatoes,2008,1212,321.75,19.56,91329,118679,27350,-27350,748022500,,,,,,,,
Guatemala,Sorghum,2000,1996,9665.14,19.47,12057,13629,1572,-1572,2471184,,,,,,,,
Turkey,Soybeans,1999,593,33089,13.02,27500,27500,0,0,0,,,,,,,,
Uruguay,Sorghum,1999,1300,3925.03,16.62,35724,38000,2276,-2276,5180176,,,,,,,,
Uganda,Maize,2006,1180,88,23.95,15361,14400,961,961,923521,,,,,,,,
Ecuador,Potatoes,2005,2274,18391.23,17.67,69668,69768,100,-100,10000,,,,,,,,
Indonesia,"Rice, paddy",2008,2702,1597,26.97,48948,48948,0,0,0,,,,,,,,
South Africa,Sorghum,1993,495,16582,16.01,21564,21564,0,0,0,,,,,,,,
Slovenia,Maize,2009,1162,1162.87,11.06,78371,73207,5164,5164,26666896,,,,,,,,
Lithuania,Maize,1998,656,812,6.27,16062,26522,10460,-10460,109411600,,,,,,,,
Qatar,Wheat,2006,74,68,28.12,20000,23333,3333,-3333,11108889,,,,,,,,
Brazil,Wheat,1997,1761,110276.11,18.36,16359,16359,0,0,0,,,,,,,,
Canada,Maize,2006,537,36572.75,8.66,84737,84737,0,0,0,,,,,,,,
Brazil,"Rice, paddy",2001,1761,151523,24.99,32405,32405,0,0,0,,,,,,,,
Mexico,Soybeans,2004,758,26433.14,22.26,15010,15010,0,0,0,,,,,,,,
India,Cassava,1991,1083,72133,26.2,218925,218925,0,0,0,,,,,,,,
Mozambique,Maize,2004,1032,572.99,21.89,8085,4950,3135,3135,9828225,,,,,,,,
Morocco,"Rice, paddy",2001,346,13842.57,18.56,52773,41453,11320,11320,128142400,,,,,,,,
Switzerland,Wheat,2005,1537,1388.3,7.49,57316,57490,174,-174,30276,,,,,,,,
Senegal,"Rice, paddy",2013,686,722.53,24.7,40181,37171,3010,3010,9060100,,,,,,,,
Libya,Maize,2001,56,4284.5,21.1,20000,20000,0,0,0,,,,,,,,
Honduras,Sorghum,1998,1976,3495,25.37,10970,13111,2141,-2141,4583881,,,,,,,,
South Africa,"Rice, paddy",1996,495,19508,15.23,22331,22331,0,0,0,,,,,,,,
India,Maize,2011,1083,55540,25.63,24784,24784,0,0,0,,,,,,,,
Egypt,Potatoes,2009,51,9013,22.63,264241,264241,0,0,0,,,,,,,,
Hungary,Soybeans,1998,589,5280,10.35,20911,23611,2700,-2700,7290000,,,,,,,,
Australia,Soybeans,2004,534,36276,18.87,22136,22136,0,0,0,,,,,,,,
Brazil,Wheat,2004,1761,214725,24.24,20728,20728,0,0,0,,,,,,,,
India,Maize,1998,1083,49157,24.34,17969,17969,0,0,0,,,,,,,,
Romania,"Rice, paddy",2001,637,7871.1,11.9,12632,26441,13809,-13809,190688481,,,,,,,,
Nepal,Wheat,2000,1500,111.72,15.13,17931,18063,132,-132,17424,,,,,,,,
Pakistan,Sweet potatoes,2004,494,8903.48,27.94,113473,113473,0,0,0,,,,,,,,
Austria,Soybeans,1998,1110,3340.3,9.01,25189,22000,3189,3189,10169721,,,,,,,,
Brazil,Cassava,1998,1761,118930.56,18.2,123522,123522,0,0,0,,,,,,,,
Colombia,Sorghum,2004,3240,105514.19,27.3,36000,37000,1000,-1000,1000000,,,,,,,,
Saudi Arabia,Maize,1996,59,994,26.37,19583,18723,860,860,739600,,,,,,,,
Uruguay,Sweet potatoes,2004,1300,9017.73,17.22,90909,94286,3377,-3377,11404129,,,,,,,,
India,Wheat,1997,1083,52279,25.68,26789,26789,0,0,0,,,,,,,,
Japan,Soybeans,2007,1668,61164.07,16.03,16392,16392,0,0,0,,,,,,,,
Egypt,Soybeans,2009,51,9013,21.67,31252,30817,435,435,189225,,,,,,,,
Brazil,Wheat,1997,1761,110276.11,19.12,16359,16359,0,0,0,,,,,,,,
Suriname,Sweet potatoes,2001,2331,581.12,27.12,128462,142308,13846,-13846,191711716,,,,,,,,
Spain,Soybeans,2001,636,35700,12.33,26795,26795,0,0,0,,,,,,,,
India,Wheat,2007,1083,27422.77,26.15,27079,27079,0,0,0,,,,,,,,
Sri Lanka,"Rice, paddy",2004,1712,1733.07,26.64,36516,34889,1627,1627,2647129,,,,,,,,
Australia,Soybeans,2001,534,32710,16.63,14626,14626,0,0,0,,,,,,,,
Colombia,Maize,2006,3240,98328.63,22.6,25368,26357,989,-989,978121,,,,,,,,
Suriname,Soybeans,2011,2331,936.24,27.42,8462,10000,1538,-1538,2365444,,,,,,,,
Australia,"Rice, paddy",2004,534,36276,12.35,83305,83305,0,0,0,,,,,,,,
Mozambique,Cassava,1998,1032,51.98,22.22,55557,57964,2407,-2407,5793649,,,,,,,,
India,Potatoes,1993,1083,66388,27.24,149024,149024,0,0,0,,,,,,,,
Germany,Potatoes,1991,700,32006,4.93,298464,314059,15595,-15595,243204025,,,,,,,,
India,"Rice, paddy",2012,1083,52980,26.65,36909,36909,0,0,0,,,,,,,,
Mozambique,Sweet potatoes,1999,1032,43.34,22.19,72727,68182,4545,4545,20657025,,,,,,,,
Morocco,Wheat,2001,346,13842.57,18.73,12280,19488,7208,-7208,51955264,,,,,,,,
New Zealand,Maize,1998,1732,3055.16,13.97,100571,101306,735,-735,540225,,,,,,,,
Mauritius,"Rice, paddy",2008,2041,781.32,24.19,30688,50000,19312,-19312,372953344,,,,,,,,
Mexico,"Rice, paddy",1996,758,34468.93,25.06,45412,45412,0,0,0,,,,,,,,
Algeria,"Rice, paddy",2008,89,11556.12,17.55,13952,13375,577,577,332929,,,,,,,,
Belgium,Wheat,2012,847,6139.3,10.68,84522,89806,5284,-5284,27920656,,,,,,,,
Mali,Soybeans,2008,282,9.99,27.62,6214,9016,2802,-2802,7851204,,,,,,,,
Saudi Arabia,Sorghum,1999,59,2853.74,26.75,13192,13192,0,0,0,,,,,,,,
Zimbabwe,Wheat,2006,657,3164.45,20.7,36000,29998,6002,6002,36024004,,,,,,,,
Brazil,Yams,2007,1761,304031,19.05,92593,92593,0,0,0,,,,,,,,
Guinea,Cassava,1994,1651,39,27.03,70505,39881,30624,30624,937829376,,,,,,,,
Germany,Maize,1995,700,30090,5.33,73664,73664,0,0,0,,,,,,,,
Brazil,Cassava,2011,1761,345026,20.33,146230,146230,0,0,0,,,,,,,,
Switzerland,Soybeans,2006,1537,1359.04,8.19,26667,28446,1779,-1779,3164841,,,,,,,,
India,Maize,1994,1083,61357,25.22,14480,14480,0,0,0,,,,,,,,
Indonesia,Potatoes,1998,2702,1597,27.77,153432,153432,0,0,0,,,,,,,,
Indonesia,Maize,2001,2702,1597,27.13,28446,28446,0,0,0,,,,,,,,
El Salvador,Potatoes,2012,1784,2595.16,26.04,295706,252796,42910,42910,1841268100,,,,,,,,
Turkey,Potatoes,2000,593,33471,14.29,263762,263762,0,0,0,,,,,,,,
Pakistan,Maize,2009,494,3957.61,25.37,34879,34879,0,0,0,,,,,,,,
Mexico,Wheat,1993,758,34468.93,16.23,40821,41272,451,-451,203401,,,,,,,,
Kenya,Sorghum,2008,630,1578,16.66,5221,8010,2789,-2789,7778521,,,,,,,,
Pakistan,Sorghum,2008,494,4946.79,27.23,6262,6262,0,0,0,,,,,,,,
India,Maize,2001,1083,43720.04,26.9,19996,19996,0,0,0,,,,,,,,
Spain,Sweet potatoes,2011,636,53549,17.9,179410,179410,0,0,0,,,,,,,,
Australia,"Rice, paddy",1999,534,34200,19.75,91615,83263,8352,8352,69755904,,,,,,,,
Zambia,Sorghum,1999,1020,1670,20.53,6954,7700,746,-746,556516,,,,,,,,
Croatia,Soybeans,2008,1113,2388,11.09,30053,27031,3022,3022,9132484,,,,,,,,
Brazil,Wheat,1992,1761,67003.89,27.58,14295,14295,0,0,0,,,,,,,,
Italy,Potatoes,2009,832,74172,8.11,248352,248352,0,0,0,,,,,,,,
Brazil,Yams,1996,1761,101621.67,27.07,91837,91837,0,0,0,,,,,,,,
Brazil,"Rice, paddy",1995,1761,92967.22,18.27,25668,25668,0,0,0,,,,,,,,
Armenia,Maize,2005,562,220.51,9.58,44692,61791,17099,-17099,292375801,,,,,,,,
Albania,Wheat,1992,1485,121,16.06,24388,29976,5588,-5588,31225744,,,,,,,,
India,"Rice, paddy",1991,1083,72133,26.2,26271,26271,0,0,0,,,,,,,,
India,Wheat,2001,1083,43720.04,25.59,27081,27081,0,0,0,,,,,,,,
Brazil,Yams,2013,1761,367778,26.4,96078,96078,0,0,0,,,,,,,,
Cameroon,Sweet potatoes,1996,1604,180.08,25,60681,61724,1043,-1043,1087849,,,,,,,,
India,Potatoes,2011,1083,55540,25.72,227240,227240,0,0,0,,,,,,,,
India,Maize,2006,1083,37423,27.47,19125,19125,0,0,0,,,,,,,,
